horizon_months,forecast_cpi_yoy,best_model,RMSE,MAE,DirAcc
1,3.734,Lasso,0.42923444992850884,0.3009341538517775,0.6557377049180327
2,2.942,Lasso,0.8186135005713318,0.5668580937121193,0.512396694214876
3,3.093,Lasso,1.117759266000067,0.7321121992707882,0.5416666666666666
