date,CPI_YOY,CPI_YOY_L1,CPI_YOY_L3,CORE_CPI_YOY,PPI_YOY,PPI_YOY_L1,OIL_CHG,OIL_YOY,OIL_L1,VIX,VIX_L1,YIELD_SPREAD,YIELD_SPREAD_L1,YIELD_SPREAD_L3,GS10,GS10_L1,GS3M,GS3M_L1,SP500_RET,SP500_6M,DXY_CHG,DXY_YOY,UNRATE,UNRATE_CHG,UNRATE_L1,PAYROLLS_YOY,PAYROLLS_L1,CPI_YOY_3M,CPI_YOY_6M,OIL_CHG_3M,OIL_CHG_6M,inflation_future
2001-06-30,3.248259860788849,3.6151603498542295,2.9205607476635587,2.707182320442003,1.2705530642750373,3.951367781155035,-7.472685148114655,-20.694860392445936,-0.3162271543724615,19.059999465942383,22.639999389648438,1.8299999237060547,1.873000144958496,0.7350001335144043,5.389999866485596,5.413000106811523,3.559999942779541,3.5399999618530273,-2.503538942756467,-7.263612437214151,0.30234367285986163,11.783980156146946,4.5,0.20000000000000018,4.3,0.17945980327571665,0.2293630066992236,3.3775129053963036,3.386482642766294,0.00470536344946441,-0.17936208245238916,2.648244099021313
2001-07-31,2.719907407407396,3.248259860788849,3.2691185055458316,2.7027027027026973,-0.2243829468960179,1.2705530642750373,0.3809538341703833,-20.392744422416776,-7.472685148114655,21.6200008392334,19.059999465942383,1.5970001220703125,1.8299999237060547,1.5079998970031738,5.0370001792907715,5.389999866485596,3.440000057220459,3.559999942779541,-1.0740149595403703,-11.330812233464638,-1.8839487517798292,6.9453323277786305,4.6,0.1999999999999993,4.5,-0.04235109054058217,0.17945980327571665,3.1944425393501583,3.2177626293089183,-2.4693194894389108,-1.2974627991254504,2.126436781609198
2001-08-31,2.719907407407396,2.719907407407396,3.6151603498542295,2.6967528893780957,0.3762227238525151,-0.2243829468960179,3.2258078526157252,-17.824767320743216,0.3809538341703833,24.920000076293945,21.6200008392334,1.5360000133514404,1.5970001220703125,1.873000144958496,4.815999984741211,5.0370001792907715,3.2799999713897705,3.440000057220459,-6.410840688075748,-8.577833635307908,-3.2087405072863673,0.7282413018972367,4.9,0.6000000000000005,4.6,-0.1610780888425034,-0.04235109054058217,2.89602489186788,3.082152379777877,-1.288641153776182,-0.016506059102433746,1.895462377943713
2001-09-30,2.648244099021313,2.719907407407396,3.248259860788849,2.6330224904004274,-1.0393466963622644,0.3762227238525151,-13.860295411830915,-24.076474913236034,3.2258078526157252,31.93000030517578,24.920000076293945,2.2749998569488525,1.5360000133514404,1.8299999237060547,4.574999809265137,4.815999984741211,2.299999952316284,3.2799999713897705,-8.172340570563886,-10.289315898934747,0.052905297969507714,0.2030934719060351,5.0,0.5,4.9,-0.43374113059839736,-0.1610780888425034,2.696019637945368,3.0367662716708357,-3.4178445750149353,-1.706569605782736,1.551724137931032
2001-10-31,2.126436781609198,2.648244099021313,2.719907407407396,2.6258205689277725,-3.7666174298375155,-1.0393466963622644,-9.603072858274642,-35.209540547759744,-13.860295411830915,33.560001373291016,31.93000030517578,2.253000020980835,2.2749998569488525,1.5970001220703125,4.263000011444092,4.574999809265137,2.009999990463257,2.299999952316284,1.8099111333141016,-15.180953177427437,1.2160708605880144,-1.5345056940528456,5.3,0.7000000000000002,5.0,-0.6800048355899424,-0.43374113059839736,2.4981960960126357,2.8463193176813966,-6.74585347249661,-4.607586480967761,1.142204454597362
2001-11-30,1.895462377943713,2.126436781609198,2.719907407407396,2.786885245901627,-3.8518518518518396,-3.7666174298375155,-8.215296251402593,-42.48520422230566,-9.603072858274642,23.84000015258789,33.560001373291016,3.0139999389648438,2.253000020980835,1.5360000133514404,4.74399995803833,4.263000011444092,1.7300000190734863,2.009999990463257,7.51759041240454,-9.26645539124139,1.105690959705563,0.7723007689574457,5.5,0.5999999999999996,5.3,-1.0652101753221288,-0.6800048355899424,2.223381086191408,2.559702989029644,-10.559554840502717,-5.924097997139451,1.1376564277588264
2001-12-31,1.551724137931032,1.895462377943713,2.648244099021313,2.7352297592997843,-5.947136563876654,-3.8518518518518396,2.057611149904548,-25.97014657689981,-8.215296251402593,23.799999237060547,23.84000015258789,3.3620001077651978,3.0139999389648438,2.2749998569488525,5.0320000648498535,4.74399995803833,1.6699999570846558,1.7300000190734863,0.7573834088927756,-6.231729407850617,0.5338868175714051,6.562616467347926,5.7,0.7000000000000002,5.5,-1.3057958347147292,-1.0652101753221288,1.8578744324946477,2.276947035220008,-5.253585986590895,-4.335715280802916,1.4755959137344066
2002-01-31,1.142204454597362,1.551724137931032,2.126436781609198,2.5613079019073615,-8.214285714285719,-5.947136563876654,-1.814519191445696,-32.125438939391906,2.057611149904548,21.09000015258789,23.799999237060547,3.305000066757202,3.3620001077651978,2.253000020980835,5.025000095367432,5.0320000648498535,1.7200000286102295,1.6699999570846558,-1.5573832456979853,-6.689896271021634,2.989291532136651,8.794789645257307,5.7,0.40000000000000036,5.7,-1.3895691883378691,-1.3057958347147292,1.529796990157369,2.013996543085002,-2.6574014309812473,-4.701627451738929,1.6393442622950838
2002-02-28,1.1376564277588264,1.142204454597362,1.895462377943713,2.6030368763557465,-6.550218340611358,-8.214285714285719,12.166329029396472,-20.31363850957747,-1.814519191445696,21.59000015258789,21.09000015258789,3.139000177383423,3.305000066757202,3.0139999389648438,4.859000205993652,5.025000095367432,1.7200000286102295,1.7200000286102295,-2.0766211039727644,-2.368600065882087,-0.8981987864668639,6.3833598692220495,5.7,0.20000000000000018,5.7,-1.5445672801759236,-1.3895691883378691,1.2771950067624067,1.7502880464769073,4.1364736626184415,-3.2115405889421385,1.1817670230725996
2002-03-31,1.4755959137344066,1.1376564277588264,1.551724137931032,2.4284943335132203,-4.488594554819714,-6.550218340611358,20.045762399533572,-0.6439396922362839,12.166329029396472,17.399999618530273,21.59000015258789,3.6660001277923584,3.139000177383423,3.3620001077651978,5.406000137329102,4.859000205993652,1.7400000095367432,1.7200000286102295,3.6738892862074657,10.22634150231372,-0.45317295982850725,1.065008069139206,5.7,0.0,5.7,-1.528425397925437,-1.5445672801759236,1.2518189320301982,1.554846682262423,10.132524079161449,2.4394690462852764,1.0674157303370846
