horizon,subset,cutoff,m1m2,n_features,model,kind,RMSE,MAE,DirAcc,N,train_RMSE,gap_pct
1,xgb_top,0.02,none,10,Linear,base,0.3321169163135458,0.2397682724856571,0.680327868852459,123,0.3641778079834648,-0.0880363684087381
2,all,0.01,none,131,base_AR1,baseline,0.7284850791163764,0.5042577410910967,0.36363636363636365,122,,
3,xgb_top,0.02,m1,9,Avg(MLP+LightGBM),ensemble_avg,0.8218136955154227,0.6087567843370072,0.4666666666666667,121,,
