date,heuristic_prob,y_true
2014-05-01,0.04087050255720084,0.0
2014-06-01,0.028435795456409438,0.0
2014-07-01,0.021468860689217394,0.0
2014-08-01,0.019688947616632774,0.0
2014-09-01,0.042853492183031965,0.0
2014-10-01,0.045894469986769396,0.0
2014-11-01,0.028801596617590665,0.0
2014-12-01,0.0351062473375082,0.0
2015-01-01,0.0425878065923307,0.0
2015-02-01,0.046168798630387614,0.0
2015-03-01,0.048657984261159776,0.0
2015-04-01,0.03923617581472899,0.0
2015-05-01,0.052726889881694855,0.0
2015-06-01,0.07748880178129937,0.0
2015-07-01,0.060475540856534366,0.0
2015-08-01,0.11821392788589861,0.0
2015-09-01,0.14666732995938214,0.0
2015-10-01,0.06814639062125258,0.0
2015-11-01,0.07058392793461203,0.0
2015-12-01,0.07470661764145287,0.0
2016-01-01,0.22370156756058376,0.0
2016-02-01,0.10451729131739441,0.0
2016-03-01,0.04562156932943775,0.0
2016-04-01,0.1324603904087502,0.0
2016-05-01,0.10453788851496688,0.0
2016-06-01,0.07285910648858517,0.0
2016-07-01,0.020883405381302535,0.0
2016-08-01,0.02209413827387479,0.0
2016-09-01,0.055186620578078244,0.0
2016-10-01,0.07258423982920464,0.0
2016-11-01,0.07290175603217801,0.0
2016-12-01,0.03780633847577698,0.0
2017-01-01,0.03460055382466866,0.0
2017-02-01,0.028089729209832836,0.0
2017-03-01,0.04113483188778593,0.0
2017-04-01,0.01942615216452803,0.0
2017-05-01,0.016984825304821916,0.0
2017-06-01,0.02427283827203682,0.0
2017-07-01,0.020435837903237244,0.0
2017-08-01,0.03001624941437881,0.0
2017-09-01,0.02597582279044662,0.0
2017-10-01,0.02739198162756991,0.0
2017-11-01,0.01620494509245852,0.0
2017-12-01,0.016885410560530712,0.0
2018-01-01,0.0067528792481166815,0.0
2018-02-01,0.010093386349183981,0.0
2018-03-01,0.016050019637995554,0.0
2018-04-01,0.019971150538955196,0.0
2018-05-01,0.03008510364278124,0.0
2018-06-01,0.03256520400367675,0.0
2018-07-01,0.02940531100200264,0.0
2018-08-01,0.012410623648449125,0.0
2018-09-01,0.008604683197068313,0.0
2018-10-01,0.02048910733040518,0.0
2018-11-01,0.024277045825092873,0.0
2018-12-01,0.09576260632954445,0.0
2019-01-01,0.08205789680035754,0.0
2019-02-01,0.06982131784912922,0.0
2019-03-01,0.046495878166464964,0.0
2019-04-01,0.008702433782280182,0.0
2019-05-01,0.025352037538324903,0.0
2019-06-01,0.003087598623377422,0.0
2019-07-01,0.006523512597620278,0.0
2019-08-01,0.011119989577362424,0.0
2019-09-01,0.01764358985656015,0.0
2019-10-01,0.01881205793001429,0.0
2019-11-01,0.005416939915473013,0.0
2019-12-01,0.010699796365321885,0.0
2020-01-01,0.01051724848094776,1.0
2020-02-01,0.024031480192792044,1.0
2020-03-01,0.6000362952443605,1.0
2020-04-01,0.9999999796115844,1.0
2020-05-01,0.9999999999999905,1.0
2020-06-01,1.0,1.0
2020-07-01,0.9999999999999987,1.0
2020-08-01,0.9999999999806575,1.0
2020-09-01,0.9999999889354855,1.0
2020-10-01,0.9999996854602068,1.0
2020-11-01,0.9999896519343839,1.0
2020-12-01,0.999916506557137,1.0
2021-01-01,0.9999139487592305,1.0
2021-02-01,0.9919528473798344,1.0
2021-03-01,0.0053215767590695665,0.0
2021-04-01,0.0010760414931973244,0.0
2021-05-01,0.007958336646522133,0.0
2021-06-01,0.0067226831511400425,0.0
2021-07-01,0.00987262215185887,0.0
2021-08-01,0.013869973757251478,0.0
2021-09-01,0.04103597931716536,0.0
2021-10-01,0.02243885244714493,0.0
2021-11-01,0.039209571889590934,0.0
2021-12-01,0.025373659942065866,0.0
2022-01-01,0.026724540817954286,0.0
2022-02-01,0.04187752086623273,0.0
2022-03-01,0.06914052328961443,0.0
2022-04-01,0.2796206993819279,0.0
2022-05-01,0.2111232926468338,0.0
2022-06-01,0.4178896742807383,0.0
2022-07-01,0.1708353701141784,0.0
2022-08-01,0.2084438834610034,0.0
2022-09-01,0.47816280067614647,0.0
2022-10-01,0.21238747851718384,0.0
2022-11-01,0.10332274727886512,0.0
2022-12-01,0.08735517711580805,0.0
2023-01-01,0.0678676394004062,0.0
2023-02-01,0.06398337366825617,0.0
2023-03-01,0.026792183669600015,0.0
2023-04-01,0.04413927622914745,0.0
2023-05-01,0.06554301119681809,0.0
2023-06-01,0.022476021311459687,0.0
2023-07-01,0.029076114886423293,0.0
2023-08-01,0.02656103183013259,0.0
2023-09-01,0.0693552462801427,0.0
2023-10-01,0.14580891109884636,0.0
2023-11-01,0.05913917906198975,0.0
2023-12-01,0.06483426940755616,0.0
2024-01-01,0.06153128899920648,0.0
2024-02-01,0.04150007268815726,0.0
2024-03-01,0.022414660639654603,0.0
2024-04-01,0.029824652015279104,0.0
2024-05-01,0.034560994037881335,0.0
2024-06-01,0.04552566657166795,0.0
2024-07-01,0.045562378568398884,0.0
2024-08-01,0.06902590876218836,0.0
2024-09-01,0.07738133062459067,0.0
2024-10-01,0.07962726948746543,0.0
2024-11-01,0.04028295972145587,0.0
2024-12-01,0.07880295959952101,0.0
2025-01-01,0.032121414996690814,0.0
2025-02-01,0.04976821414593414,0.0
2025-03-01,0.12067302995672798,0.0
2025-04-01,0.1754687751807107,0.0
2025-05-01,0.09560792677678348,0.0
2025-06-01,0.04265172802713878,0.0
2025-07-01,0.04671718440491372,0.0
2025-08-01,0.03314434919975805,0.0
2025-09-01,0.022921882495610318,0.0
2025-10-01,0.02166730075257885,0.0
2025-11-01,0.040904751232537125,0.0
2025-12-01,0.054296783676059585,0.0
2026-01-01,0.04173538087487645,0.0
2026-02-01,0.05514590471927151,0.0
2026-03-01,0.13810212679897596,0.0
2026-04-01,0.05857586605940513,0.0
