,0
CPI_YOY,0.7802836894120831
OIL_YOY,0.05055221725169376
PAYROLLS_YOY,0.020761068476427936
ENERGY_YOY_6M,0.02016366811322072
ENERGY_YOY,0.012450319610635422
CASE_SHILLER_YOY_L6,0.012310235612298787
M2_YOY_L12,0.008646960019155532
CPI_YOY_3M,0.007367308828986918
INFL_EXPECT_5Y_6M,0.006677618909899804
PPI_YOY,0.006612862834697512
CASE_SHILLER_YOY_L3,0.004381681289959592
EXPECT_X_OIL,0.004224871276968793
CPI_YOY_L1,0.003979173289994436
INFL_EXPECT_10Y_6M,0.002971200912322556
PAYROLLS_L1,0.002696629819073665
INFL_EXPECT_10Y_3M,0.0021400911056755853
INFL_EXPECT_5Y_3M,0.002109991109085113
NFCI_CHG,0.0019020225245383903
OIL_CHG,0.0018838765691483418
OIL_CHG_3M,0.001535790504634433
DXY_YOY,0.001455153869833174
INFL_TERM_SLOPE_L1,0.001402305781279653
INFL_EXPECT_5Y_L3,0.0013532057821436633
CASE_SHILLER_YOY_6M,0.0013054170693813844
ENERGY_YOY_L3,0.0012310778255181162
RETAIL_YOY_6M,0.0012149470890283113
INFL_EXPECT_5Y,0.001090745338496267
ENERGY_YOY_3M,0.0010355716763299097
INFL_EXPECT_5Y_L1,0.0009582231018656159
OER_YOY_ACCEL,0.0009314421980357954
OIL_CHG_6M,0.0008537982396093816
UMCSENT_YOY,0.0008045208708641845
OER_YOY_L3,0.0006677751888523229
CORE_CPI_YOY,0.0006561199638294291
NFCI_L3,0.0006248491822566435
YIELD_SPREAD_L3,0.0006188554216933954
RETAIL_YOY_3M,0.0006092930528978994
SHELTER_YOY_ACCEL,0.0005692348514844555
INFL_EXPECT_10Y_L1,0.0005679063995127397
YIELD_SPREAD_10_2Y_6M,0.0005603607413474359
CPI_YOY_L3,0.0005400889289039954
ENERGY_YOY_L1,0.0005296523959463032
INDPRO_YOY_L3,0.0005226612415687904
VIX,0.0005171616042164966
CASE_SHILLER_YOY,0.0005058612051580508
INDPRO_YOY_3M,0.0004825211703854035
CASE_SHILLER_YOY_L12,0.000464184304258184
OER_YOY_L1,0.00046112184109767707
INFL_EXPECT_10Y_L3,0.0004602711944369303
OIL_L1,0.00045845978599198665
SHELTER_YOY,0.00044422432984607483
FCI_X_CURVE,0.0004387904208764495
RETAIL_YOY_L1,0.00043788740918756657
SHELTER_YOY_6M,0.00043305656085341186
INDPRO_YOY_L1,0.00043059208857183746
RETAIL_YOY,0.0004301903342058085
M2_YOY_L6,0.00042936444059235026
M2_L1,0.0004262198941007978
INFL_EXPECT_5Y_CHG,0.0004231703410823476
VIX_L1,0.0004187400191812287
DXY_CHG,0.00040540616409593386
M1_YOY,0.00039345950841432055
SP500_RET,0.0003862373306165435
NFCI_6M,0.00037388116892285976
SHELTER_YOY_L3,0.00036818147061025864
INFL_EXPECT_10Y_CHG,0.00036171472257291536
RENT_YOY_3M,0.0003567755334804304
RENT_YOY_L1,0.0003528070189995869
SUPPLY_PROXY_6M_6M,0.00034449531861877503
RETAIL_YOY_L3,0.0003392027388038698
SUPPLY_PROXY_L3,0.0003322358403874411
GS10_L1,0.00032957991760389986
INDPRO_L1,0.00032458737226525854
MEDICAL_YOY,0.00032292338526846435
FOOD_YOY,0.0003181262255100109
INFL_EXPECT_10Y,0.00031748038140462325
YIELD_SPREAD_L1,0.0003171570844692194
MEDICAL_YOY_L3,0.0003148804231420644
OER_YOY_3M,0.00031149798898837914
UMCSENT_CHG,0.00030867001341877714
PPI_YOY_L1,0.00030185395103133776
SUPPLY_PROXY_6M,0.00029982379506068006
SUPPLY_PROXY_3M,0.00029077037836664214
SUPPLY_PROXY,0.0002869672299484139
NFCI,0.0002837905041967247
UMCSENT_L3,0.00028092548774630836
YIELD_SPREAD_10_2Y_L1,0.0002755580420180211
FEDFUNDS_L6,0.0002734820352364024
UNRATE_L1,0.00027110089193748186
INDPRO_YOY_6M,0.0002698966428416871
FOOD_YOY_L3,0.0002684649791884671
CPI_YOY_6M,0.00026784629082971586
GS3M_L1,0.0002675626818622521
FOOD_YOY_L1,0.00026747299597158536
MEDICAL_YOY_6M,0.0002638924743416578
GS10,0.0002638746703750156
SHELTER_YOY_3M,0.0002629197106458366
MEDICAL_YOY_L1,0.0002550607705508042
NFCI_L1,0.00025167931917477606
SUPPLY_PROXY_6M_3M,0.0002498123413304261
