date,recession_prob,y_true
2015-11-01,0.015408366187990559,0
2015-12-01,0.021212347412267248,0
2016-01-01,0.08198906675132146,0
2016-02-01,0.05540282064889888,0
2016-03-01,0.014228911314770255,0
2016-04-01,0.011133825259914087,0
2016-05-01,0.011133825259914087,0
2016-06-01,0.010947891396921695,0
2016-07-01,0.012538800487830785,0
2016-08-01,0.023281321855352154,0
2016-09-01,0.01665644754665431,0
2016-10-01,0.024971432682291628,0
2016-11-01,0.032478219760637195,0
2016-12-01,0.03128727752552393,0
2017-01-01,0.03128727752552393,0
2017-02-01,0.034809290104140286,0
2017-03-01,0.019024297319147496,0
2017-04-01,0.01531133114755929,0
2017-05-01,0.002782670798246771,0
2017-06-01,0.002782670798246771,0
2017-07-01,0.002782670798246771,0
2017-08-01,0.002782670798246771,0
2017-09-01,0.002782670798246771,0
2017-10-01,0.002782670798246771,0
2017-11-01,0.002782670798246771,0
2017-12-01,0.002943961120827416,0
2018-01-01,0.0032814217118659113,0
2018-02-01,0.017664534944935,0
2018-03-01,0.018174739026567653,0
2018-04-01,0.0032814217118659113,0
2018-05-01,0.0034599931404373403,0
2018-06-01,0.0034599931404373403,0
2018-07-01,0.0034599931404373403,0
2018-08-01,0.0034599931404373403,0
2018-09-01,0.0034599931404373403,0
2018-10-01,0.0296710924045054,0
2018-11-01,0.00673156085843363,0
2018-12-01,0.07742604950098018,0
2019-01-01,0.031016409343282113,0
2019-02-01,0.02537069592971155,0
2019-03-01,0.018464538594982788,0
2019-04-01,0.0034599931404373403,0
2019-05-01,0.007013023443467642,0
2019-06-01,0.0034599931404373403,0
2019-07-01,0.0034599931404373403,0
2019-08-01,0.007429690110134308,0
2019-09-01,0.0034599931404373403,0
2019-10-01,0.0034599931404373403,0
2019-11-01,0.0046129675750489416,0
2019-12-01,0.0046129675750489416,0
2020-01-01,0.007429690110134308,1
2020-02-01,0.12119813519000285,1
2020-03-01,0.7777457340444869,1
2020-04-01,0.9174747575584274,1
2020-05-01,0.8427516491659364,1
2020-06-01,0.8083348604478101,1
2020-07-01,0.8370134661730547,1
2020-08-01,0.829887463666789,1
2020-09-01,0.7775046355800851,1
2020-10-01,0.8261646561112012,1
2020-11-01,0.780328914200866,1
2020-12-01,0.7672637812887372,1
2021-01-01,0.8073014767057866,1
2021-02-01,0.8093628986172086,1
2021-03-01,0.4277658401123873,0
2021-04-01,0.019507936056859524,0
2021-05-01,0.004970110432191799,0
2021-06-01,0.0044343961464775134,0
